Name,Ticker,Sector,ROCE %,Avg ROCE 5Yr %,Min ROCE 5Yr %,ROE %,Avg ROE 5Yr %,Min ROE 5Yr %,Sales growth 5Yr %,Profit growth 5Yr %,Debt to equity,Promoter holding %,Promoter holding 3Yr ago %,Pledged percentage %,PEG Ratio,PE,Avg PE 5Yr,Price to book,Avg ROCE 3Yr %,Avg ROE 3Yr %,Sales growth 3Yr %,Profit growth 3Yr %,Free cash flow last year,Dividend yield %,Return 1Yr %,Return 3Yr %,Return 5Yr %,Industry PE
Lockheed Martin Corporation,LMT,Industrials,67.64,57.49,,67.64,57.49,,0.24,-9.2,2.76,75.98,75.98,0.0,1.15,26.45,26.45,16.77,60.88,60.88,0.3,-11.5,3987124992.0,253.0,16.38,30.72,63.9,32.32
Hilton Worldwide Holdings Inc.,HLT,Consumer Cyclical,16.29,13.85,,0.0,0.0,,8.8,28.0,0.0,100.55,100.55,0.0,1.67,51.54,51.54,-13.07,14.66,0.0,11.0,35.0,1684499968.0,18.0,24.84,140.14,172.34,25.44
Global Payments Inc.,GPN,Industrials,3.55,3.02,,2.94,2.49,,50.48,9.6,0.96,104.01,104.01,0.0,0.22,28.91,28.91,0.9,3.2,2.64,63.1,12.0,7124387840.0,127.0,-1.81,-16.35,-57.19,32.32
"Lowe's Companies, Inc.",LOW,Consumer Cyclical,19.19,16.31,,0.0,0.0,,8.24,-0.56,0.0,81.19,81.19,0.0,1.49,19.23,19.23,-13.77,17.27,0.0,10.3,-0.7,4816124928.0,220.0,1.12,8.4,28.44,25.44
Edison International,EIX,Utilities,18.86,16.03,,18.86,16.03,,6.16,-50.56,2.26,94.62,94.62,0.0,3.57,8.22,8.22,1.69,16.98,16.98,7.7,-63.2,-1134000000.0,464.0,49.79,28.31,,22.42
NXP Semiconductors N.V.,NXPI,Technology,25.81,21.94,,25.81,21.94,,9.76,104.56,1.04,100.86,100.86,0.0,0.7,26.11,26.11,6.32,23.23,23.23,12.2,130.7,2727124992.0,148.0,20.96,45.99,48.27,37.83
"Intercontinental Exchange, Inc.",ICE,BFSI,13.85,11.78,,13.85,11.78,,16.32,63.76,0.71,96.9,96.9,0.0,2.06,19.33,19.33,2.55,12.47,12.47,20.4,79.7,3743124992.0,156.0,-27.36,23.61,20.33,17.06
"NextEra Energy, Inc.",NEE,Utilities,10.32,8.78,,10.32,8.78,,5.84,128.0,1.57,87.12,87.12,0.0,1.95,22.42,22.42,3.34,9.29,9.29,7.3,160.0,-18453374976.0,282.0,18.18,31.42,34.1,22.42
Deere & Company,DE,Industrials,18.35,15.6,,18.35,15.6,,-8.88,-6.8,3.76,82.74,82.74,0.0,1.45,35.22,35.22,6.12,16.51,16.51,-11.1,-8.5,1098749952.0,104.0,21.75,60.27,89.86,32.32
"Mid-America Apartment Communities, Inc.",MAA,Real Estate,6.71,5.7,,6.71,5.7,,0.64,-25.2,1.0,97.48,97.48,0.0,7.03,43.09,43.09,2.99,6.04,6.04,0.8,-31.5,909082496.0,430.0,-5.26,7.39,-1.95,33.16
Cintas Corporation,CTAS,Industrials,41.3,35.11,,41.3,35.11,,7.12,7.76,0.61,84.24,84.24,0.0,2.88,38.34,38.34,15.15,37.17,37.17,8.9,9.7,1508147456.0,99.0,-16.63,52.23,98.55,32.32
